Bench,Row,Column,Position,Plant,Inoc,Trait,Measurement
Left,2,L-D,L-D2,L-D2,141+733B,Shoot_mass_per_root_mass,1.133303208
Left,4,L-D,L-D4,L-D4,141+733B,Shoot_mass_per_root_mass,0.77139015
Right,1,R-A,R-A1,R-A1,141+733B,Shoot_mass_per_root_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Shoot_mass_per_root_mass,1.107886539
Right,1,R-D,R-D1,R-D1,141+733B,Shoot_mass_per_root_mass,1.280267559
Left,4,L-A,L-A4,L-A4,225,Shoot_mass_per_root_mass,0.431122678
Left,1,L-B,L-B1,L-B1,225,Shoot_mass_per_root_mass,0.858333333
Left,6,L-C,L-C6,L-C6,225,Shoot_mass_per_root_mass,0.617357894
Left,1,L-D,L-D1,L-D1,225,Shoot_mass_per_root_mass,0.907698852
Right,6,R-A,R-A6,R-A6,225,Shoot_mass_per_root_mass,1.040997906
Left,3,L-B,L-B3,L-B3,225+717A,Shoot_mass_per_root_mass,1.080239662
Left,3,L-C,L-C3,L-C3,225+717A,Shoot_mass_per_root_mass,0.617942284
Left,4,L-C,L-C4,L-C4,225+717A,Shoot_mass_per_root_mass,0.807598592
Right,6,R-B,R-B6,R-B6,225+717A,Shoot_mass_per_root_mass,0.569368048
Right,5,R-C,R-C5,R-C5,225+717A,Shoot_mass_per_root_mass,0.929675885
Left,2,L-B,L-B2,L-B2,225+733B,Shoot_mass_per_root_mass,0.747484689
Right,3,R-A,R-A3,R-A3,225+733B,Shoot_mass_per_root_mass,0.825174825
Right,5,R-A,R-A5,R-A5,225+733B,Shoot_mass_per_root_mass,0.596277363
Right,5,R-B,R-B5,R-B5,225+733B,Shoot_mass_per_root_mass,0.988634211
Right,1,R-C,R-C1,R-C1,225+733B,Shoot_mass_per_root_mass,0.976245347
Left,5,L-B,L-B5,L-B5,Sterile + N,Shoot_mass_per_nod_mass,0.310895278
Left,5,L-D,L-D5,L-D5,Sterile + N,Shoot_mass_per_nod_mass,1.378425998
Right,2,R-A,R-A2,R-A2,Sterile + N,Shoot_mass_per_nod_mass,5.696802646
Right,2,R-B,R-B2,R-B2,Sterile + N,Shoot_mass_per_nod_mass,3.861499365
Right,5,R-D,R-D5,R-D5,Sterile + N,Shoot_mass_per_nod_mass,1.109513047
Left,4,L-B,L-B4,L-B4,717A + N,Shoot_mass_per_nod_mass,2.915237467
Left,6,L-B,L-B6,L-B6,717A + N,Shoot_mass_per_nod_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Shoot_mass_per_nod_mass,3.529463117
Right,4,R-B,R-B4,R-B4,717A + N,Shoot_mass_per_nod_mass,0.501171958
Right,3,R-C,R-C3,R-C3,717A + N,Shoot_mass_per_nod_mass,3.095744681
Left,2,L-A,L-A2,L-A2,733B + N,Shoot_mass_per_nod_mass,1.507735584
